Model_Type,Epochs,Trial,Epsilon,Adv_Accuracy
robust_cnn,04,2,0.45,7.01
robust_cnn,04,3,0.45,5.67
robust_cnn,05,1,0.45,7.3
robust_cnn,05,2,0.45,8.45
robust_cnn,05,3,0.45,6.61
robust_cnn,06,1,0.45,9.53
robust_cnn,06,2,0.45,9.91
robust_cnn,06,3,0.45,12.17
robust_cnn,07,1,0.45,11.31
robust_cnn,07,2,0.45,10.61
robust_cnn,07,3,0.45,10.68
robust_cnn,08,1,0.45,7.68
robust_cnn,08,2,0.45,11.12
robust_cnn,08,3,0.45,10.08
robust_cnn,09,1,0.45,12.91
robust_cnn,09,2,0.45,12.37
robust_cnn,09,3,0.45,9.54
robust_cnn,10,1,0.45,11.81
robust_cnn,10,2,0.45,7.22
robust_cnn,10,3,0.45,11.59
simple_cnn,01,1,0.45,0.08
simple_cnn,01,2,0.45,0.11
simple_cnn,01,3,0.45,1.88
simple_cnn,02,1,0.45,0.57
simple_cnn,02,2,0.45,0.96
simple_cnn,02,3,0.45,0.71
simple_cnn,03,1,0.45,1.01
simple_cnn,03,2,0.45,2.92
simple_cnn,03,3,0.45,2.85
simple_cnn,04,1,0.45,2.27
simple_cnn,04,2,0.45,2.6
simple_cnn,04,3,0.45,2.62
simple_cnn,05,1,0.45,8.08
simple_cnn,05,2,0.45,8.21
simple_cnn,05,3,0.45,6.28
simple_cnn,06,1,0.45,3.31
simple_cnn,06,2,0.45,3.99
simple_cnn,06,3,0.45,8.49
simple_cnn,07,1,0.45,12.79
simple_cnn,07,2,0.45,10.0
simple_cnn,07,3,0.45,9.45
simple_cnn,08,1,0.45,12.82
simple_cnn,08,2,0.45,13.82
simple_cnn,08,3,0.45,9.78
simple_cnn,09,1,0.45,9.87
simple_cnn,09,2,0.45,12.03
simple_cnn,09,3,0.45,15.67
simple_cnn,10,1,0.45,9.71
simple_cnn,10,2,0.45,17.4
simple_cnn,10,3,0.45,13.37
simple_mlp,01,1,0.45,0.0
simple_mlp,01,2,0.45,0.0
simple_mlp,01,3,0.45,0.0
simple_mlp,02,1,0.45,0.0
simple_mlp,02,2,0.45,0.0
simple_mlp,02,3,0.45,0.0
simple_mlp,03,1,0.45,0.0
simple_mlp,03,2,0.45,0.0
simple_mlp,03,3,0.45,0.0
simple_mlp,04,1,0.45,0.0
simple_mlp,04,2,0.45,0.0
simple_mlp,04,3,0.45,0.0
simple_mlp,05,1,0.45,0.0
simple_mlp,05,2,0.45,0.0
simple_mlp,05,3,0.45,0.0
simple_mlp,06,1,0.45,0.02
simple_mlp,06,2,0.45,0.0
simple_mlp,06,3,0.45,0.0
simple_mlp,07,1,0.45,0.0
simple_mlp,07,2,0.45,0.03
simple_mlp,07,3,0.45,0.01
simple_mlp,08,1,0.45,0.0
simple_mlp,08,2,0.45,0.01
simple_mlp,08,3,0.45,0.0
simple_mlp,09,1,0.45,0.04
simple_mlp,09,2,0.45,0.07
simple_mlp,09,3,0.45,0.0
simple_mlp,10,1,0.45,0.04
simple_mlp,10,2,0.45,0.0
simple_mlp,10,3,0.45,0.0
robust_cnn,01,1,0.5,1.97
robust_cnn,01,2,0.5,1.92
robust_cnn,01,3,0.5,4.64
robust_cnn,02,1,0.5,4.38
robust_cnn,02,2,0.5,3.64
robust_cnn,02,3,0.5,8.61
robust_cnn,03,1,0.5,6.65
robust_cnn,03,2,0.5,6.98
robust_cnn,03,3,0.5,6.92
robust_cnn,04,1,0.5,5.74
robust_cnn,04,2,0.5,6.06
robust_cnn,04,3,0.5,4.81
robust_cnn,05,1,0.5,6.94
robust_cnn,05,2,0.5,7.89
robust_cnn,05,3,0.5,6.06
robust_cnn,06,1,0.5,8.92
robust_cnn,06,2,0.5,9.22
robust_cnn,06,3,0.5,11.54
robust_cnn,07,1,0.5,10.44
robust_cnn,07,2,0.5,9.96
robust_cnn,07,3,0.5,10.3
robust_cnn,08,1,0.5,7.23
robust_cnn,08,2,0.5,10.97
robust_cnn,08,3,0.5,9.89
robust_cnn,09,1,0.5,11.89
robust_cnn,09,2,0.5,11.24
robust_cnn,09,3,0.5,8.64
robust_cnn,10,1,0.5,10.75
robust_cnn,10,2,0.5,6.97
robust_cnn,10,3,0.5,10.72
simple_cnn,01,1,0.5,0.11
simple_cnn,01,2,0.5,0.09
simple_cnn,01,3,0.5,2.55
simple_cnn,02,1,0.5,0.57
simple_cnn,02,2,0.5,1.11
simple_cnn,02,3,0.5,0.86
simple_cnn,03,1,0.5,0.99
simple_cnn,03,2,0.5,2.12
simple_cnn,03,3,0.5,3.27
simple_cnn,04,1,0.5,1.97
simple_cnn,04,2,0.5,2.54
simple_cnn,04,3,0.5,2.71
simple_cnn,05,1,0.5,7.53
simple_cnn,05,2,0.5,7.54
simple_cnn,05,3,0.5,5.61
simple_cnn,06,1,0.5,2.75
simple_cnn,06,2,0.5,3.03
simple_cnn,06,3,0.5,8.24
simple_cnn,07,1,0.5,12.37
simple_cnn,07,2,0.5,9.93
simple_cnn,07,3,0.5,9.42
simple_cnn,08,1,0.5,12.48
simple_cnn,08,2,0.5,13.05
simple_cnn,08,3,0.5,9.77
simple_cnn,09,1,0.5,8.83
simple_cnn,09,2,0.5,11.75
simple_cnn,09,3,0.5,14.97
simple_cnn,10,1,0.5,9.34
simple_cnn,10,2,0.5,16.75
simple_cnn,10,3,0.5,13.25
simple_mlp,01,1,0.5,0.0
simple_mlp,01,2,0.5,0.0
simple_mlp,01,3,0.5,0.0
simple_mlp,02,1,0.5,0.0
simple_mlp,02,2,0.5,0.0
simple_mlp,02,3,0.5,0.0
simple_mlp,03,1,0.5,0.0
simple_mlp,03,2,0.5,0.0
simple_mlp,03,3,0.5,0.0
simple_mlp,04,1,0.5,0.0
simple_mlp,04,2,0.5,0.0
simple_mlp,04,3,0.5,0.0
simple_mlp,05,1,0.5,0.0
simple_mlp,05,2,0.5,0.0
simple_mlp,05,3,0.5,0.0
simple_mlp,06,1,0.5,0.02
simple_mlp,06,2,0.5,0.0
simple_mlp,06,3,0.5,0.0
simple_mlp,07,1,0.5,0.0
simple_mlp,07,2,0.5,0.02
simple_mlp,07,3,0.5,0.01
simple_mlp,08,1,0.5,0.0
simple_mlp,08,2,0.5,0.0
simple_mlp,08,3,0.5,0.0
simple_mlp,09,1,0.5,0.04
simple_mlp,09,2,0.5,0.04
simple_mlp,09,3,0.5,0.0
simple_mlp,10,1,0.5,0.01
simple_mlp,10,2,0.5,0.0
simple_mlp,10,3,0.5,0.0
